id," name"," address"," zip_code"," city"," state",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
12," Barbeque King Drive-In"," 2900 Wilkinson Boulevard"," "," Charlotte"," NC",35.224045,-80.888615,1,range_interpolation,2900,"Wilkinson Blvd",Charlotte,NC,"Mecklenburg County",28208,US
13," Bayway Diner"," 2019 South Wood Avenue"," "," Linden"," NJ",40.620914,-74.235515,1,range_interpolation,2019,"S Wood Ave",Linden,NJ,"Union County",07036,US
14," Hillbilly Hot Dogs"," 6591 Ohio River Road"," "," Lesage"," WV",38.485297,-82.300441,1,range_interpolation,6591,"Ohio River Rd",Lesage,WV,"Cabell County",25537,US
15," Chap's Pit Beef"," 5801 Pulaski Highway"," "," Baltimore"," MD",39.302757,-76.567987,0.33,place,,,Baltimore,MD,"Baltimore city",21205,US
16," Triple X Family Restaurant"," 2 North Salisbury Street"," "," West Lafayette"," IN",40.422521,-86.905588,1,range_interpolation,2,"N Salisbury St","West Lafayette",IN,"Tippecanoe County",47906,US
17," JT Farnham's Seafood and Grill"," 88 Eastern Ave"," 01929"," South Essex"," MA",42.630537,-70.768862,0.8,range_interpolation,88,"Eastern Ave",Essex,MA,"Essex County",01929,US
18," Red Arrow Diner"," 61 Lowell Street"," "," Manchester"," NH",42.993447,-71.461367,1,range_interpolation,61,"Lowell St",Manchester,NH,"Hillsborough County",03104,US
19," Brownstone Diner"," 426 Jersey Avenue"," "," Jersey City"," NJ",40.716779,-74.048675,1,range_interpolation,426,"Jersey Ave","Jersey City",NJ,"Hudson County",07302,US
20," White Manna Hamburgers"," 358 River Street"," "," Hackensack"," NJ",40.889144,-74.038478,1,range_interpolation,358,"River St",Hackensack,NJ,"Bergen County",07601,US
21," Eveready Diner"," 4189 Albany Post Road"," "," Hyde Park"," NY",41.777042,-73.931214,1,range_interpolation,4189,"Albany Post Rd","Hyde Park",NY,"Dutchess County",12538,US
22," BBQ Shack"," 1613 E. Peoria Street"," 66071"," Paola"," KS",38.57132,-94.869251,0.8,street_center,,"E Peoria St",Paola,KS,"Miami County",66071,US
23," Beacon Drive-In"," 255 John B. White Boulevard"," "," Spartanburg"," SC",34.942223,-81.942877,0.7,range_interpolation,255,"John B White Sr Blvd",Spartanburg,SC,"Spartanburg County",29306,US
24," Benny's Seafood"," 2500 SW 107th Avenue"," "," South Miami"," FL",25.745831,-80.368267,1,rooftop,2500,"SW 107th Ave",Miami,FL,"Miami-Dade County",33165,US
25," Big Star Diner"," 305 Madison Avenue North"," "," Bainbridge Island"," WA",47.626944,-122.521149,1,range_interpolation,305,"Madison Ave N","Bainbridge Island",WA,"Kitsap County",98110,US
26," Bobby's Hawaiian Style Restaurant"," 14626 Hwy 99"," 98087"," Lynnwood"," WA",47.865955,-122.280423,1,range_interpolation,14626,"State Rte 99",Lynnwood,WA,"Snohomish County",98087,US
27," BoBo Drive-In"," 2300 SW 10th Avenue"," 66604"," Topeka"," KS",39.051208,-95.7061,1,range_interpolation,2300,"SW 10th Ave",Topeka,KS,"Shawnee County",66604,US
28," Brint's Diner NEW OWNERS"," 4834 East Lincoln Street"," 67218"," Wichita"," KS",37.672075,-97.280163,1,range_interpolation,4834,"E Lincoln St",Wichita,KS,"Sedgwick County",67218,US
29," Cafe On The Route CLOSED"," 1101 Military Avenue"," 66713"," Baxter Springs"," KS",37.023765,-94.735329,1,range_interpolation,1101,"Military Ave","Baxter Springs",KS,"Cherokee County",66713,US
30," Central City Cafe"," 529 14th Street"," "," West Huntington"," WV",38.411744,-82.479582,1,range_interpolation,529,"14th St W",Huntington,WV,"Cabell County",25704,US
31," Charlie's Diner"," 32 West Main Street"," "," Spencer"," MA",42.234116,-72.010271,0.8,range_interpolation,32,"W Main St",Spencer,MA,"Worcester County",01562,US
32," Chino Bandido"," 15414 North 19th Avenue"," "," Phoenix"," AZ",33.62575,-112.099827,1,range_interpolation,15414,"N 19th Ave",Phoenix,AZ,"Maricopa County",85023,US
33," The Coffee Cup"," 512 Nevada Way"," "," Boulder City"," NV",35.976974,-114.838592,0.9,range_interpolation,512,"Nevada Hwy","Boulder City",NV,"Clark County",89005,US
34," Cozy Corner"," 745 North Parkway"," "," Memphis"," TN",35.125254,-89.984443,1,range_interpolation,745,"N Pkwy",Memphis,TN,"Shelby County",38104,US
35," Creole Creamery"," 4924 Prytania Street"," "," New Orleans"," LA",29.924413,-90.108005,1,range_interpolation,4924,"Prytania St","New Orleans",LA,"Orleans Parish",70115,US
36," Daddypops Diner"," 232 North York Road"," "," Hatboro"," PA",40.181435,-75.105265,0.8,range_interpolation,232,"N York Rd",Hatboro,PA,"Montgomery County",19040,US
37," Dari-Ette Drive-In"," 1440 Minnehaha Avenue"," "," St. Paul"," MN",44.962794,-93.08112,0.8,street_center,,"Minnehaha Ave","Saint Paul",MN,"Ramsey County",55101,US
38," The Dining Car"," 8826 Frankford Avenue"," "," Philadelphia"," PA",40.04953,-75.011876,1,range_interpolation,8826,"Frankford Ave",Philadelphia,PA,"Philadelphia County",19136,US
39," Dot's Back Inn"," 4030 Macarthur Avenue"," "," Richmond"," VA",37.589919,-77.458482,1,rooftop,4030,"Macarthur Ave",Richmond,VA,"Richmond city",23227,US
40," Doumars"," 1919 Monticello Avenue"," "," Norfolk"," VA",36.866187,-76.284982,1,rooftop,1919,"Monticello Ave",Norfolk,VA,"Norfolk city",23517,US
41," Duarte's Tavern"," 202 Stage Road"," "," Pescadero"," CA",37.252894,-122.382941,1,range_interpolation,202,"Stage Rd",Pescadero,CA,"San Mateo County",94060,US
42," El Indio"," 3695 India Street"," "," San Diego"," CA",32.742348,-117.18008,1,rooftop,3695,"India St","San Diego",CA,"San Diego County",92103,US
43," 11th Street Diner"," 1065 Washington Avenue"," "," Miami Beach"," FL",25.78182,-80.132297,1,rooftop,1065,"Washington Ave","Miami Beach",FL,"Miami-Dade County",33139,US
44," Emma Jean's Holland Burger Cafe"," 17143 D Street"," "," Victorville"," CA",34.561028,-117.313943,1,rooftop,17143,"D St",Victorville,CA,"San Bernardino County",92394,US
45," Charlie Parker's"," 700 North Street"," "," Springfield"," IL",39.795407,-89.661586,1,range_interpolation,700,"New St",Springfield,IL,"Sangamon County",62704,US
46," Evelyn's Drive-In"," 2325 Main Road (Route 77)"," "," Tiverton"," RI",41.617593,-71.203973,1,range_interpolation,2325,"Main Rd",Tiverton,RI,"Newport County",02878,US
47," The Fly Trap"," 22950 Woodward Avenue"," "," Ferndale"," MI",42.462052,-83.135062,1,range_interpolation,22950,"Woodward Ave",Ferndale,MI,"Oakland County",48220,US
48," Four Kegs Sports Pub"," 276 N Jones Blvd"," 89107"," Las Vegas"," NV",36.176706,-115.223862,1,range_interpolation,276,"N Jones Blvd","Las Vegas",NV,"Clark County",89107,US
49," The Frosted Mug CLOSED"," 11541 South Pulaski Road"," "," Alsip"," IL",41.68282,-87.719855,1,range_interpolation,11541,"S Pulaski Rd",Alsip,IL,"Cook County",60803,US
50," Gaffey Street Diner"," 247 North Gaffey Street"," "," San Pedro"," CA",33.744966,-118.292493,1,rooftop,247,"N  Gaffey St","San Pedro",CA,"Los Angeles County",90731,US
51," Grampa's Bakery"," 17 Southwest First Street"," "," Dania Beach"," FL",26.050727,-80.144196,1,rooftop,17,"SW  1st St",Dania,FL,"Broward County",33004,US
52," Grubstake Diner"," 1525 Pine Street"," "," San Francisco"," CA",37.789321,-122.420826,1,rooftop,1525,"Pine St","San Francisco",CA,"San Francisco County",94109,US
53," Hackney's On Harms"," 1241 Harms Road"," "," Glenview"," IL",42.077592,-87.771293,1,range_interpolation,1241,"Harms Rd",Glenview,IL,"Cook County",60025,US
54," Harold's Restaurant"," 602 North Limestone Street"," "," Gaffney"," SC",35.076502,-81.645935,1,range_interpolation,602,"N Limestone St",Gaffney,SC,"Cherokee County",29340,US
55," Hightstown Diner"," 151 Mercer Street"," "," Highstown"," NJ",0,0,0,,,,,,,,
56," Hullabaloo Diner"," 15045 FM 2154 Road"," "," College Station"," TX",30.531926,-96.301116,1,range_interpolation,15045,"Fm 2154th Rd","College Station",TX,"Brazos County",77845,US
57," Iron Barley"," 5510 Virginia Avenue"," "," St. Louis"," MO",38.565208,-90.245842,1,range_interpolation,5510,"Virginia Ave","Saint Louis",MO,"St. Louis city",63111,US
58," Jay Bee's Bar-B-Que"," 15911 Avalon Boulevard"," "," Gardena"," CA",33.886807,-118.265416,1,range_interpolation,15911,"Avalon Blvd",Gardena,CA,"Los Angeles County",90248,US
59," Jefferson Diner"," 5 Bowling Green Parkway"," "," Lake Hopatong"," NJ",40.962131,-74.598365,0.8,range_interpolation,5,"Bowling Green Pkwy","Lake Hopatcong",NJ,"Morris County",07849,US
60," Joe's Cable Car CLOSED"," 4320 Mission Street"," "," San Francisco"," CA",37.728457,-122.431899,1,rooftop,4320,"Mission St","San Francisco",CA,"San Francisco County",94112,US
61," Joe's Gizzard City"," 120 West Main Street"," "," Potterville"," MI",42.629546,-84.742769,1,range_interpolation,120,"W Main St",Potterville,MI,"Eaton County",48876,US
62," Keegan's Seafood Grille"," 1519 Gulf Boulevard"," "," Indian Rocks Beach"," FL",27.898709,-82.847943,1,rooftop,1519,"Gulf Blvd","Indian Rocks Beach",FL,"Pinellas County",33785,US
63," Kelly's Diner"," 674 Broadway"," "," Somerville"," MA",42.399549,-71.111558,1,range_interpolation,674,Broadway,Somerville,MA,"Middlesex County",02144,US
64," Krazy Jim's Blimpy Burger"," 551 South Division Street"," "," Ann Arbor"," MI",42.275006,-83.744116,1,range_interpolation,551,"S Division St","Ann Arbor",MI,"Washtenaw County",48104,US
65," Leonard's BBQ"," 5465 Fox Plaza Drive"," "," Memphis"," TN",35.074286,-89.882152,1,range_interpolation,5465,"Fox Plaza Dr",Memphis,TN,"Shelby County",38115,US
66," Leo's BBQ"," 3631 North Kelley Avenue"," 73111"," Oklahoma City"," OK",35.50652,-97.494548,1,range_interpolation,3631,"N Kelley Ave","Oklahoma City",OK,"Oklahoma County",73111,US
67," Little Tea Shop"," 69 Monroe Avenue"," "," Memphis"," TN",35.144271,-90.054154,1,range_interpolation,69,"Monroe Ave",Memphis,TN,"Shelby County",38103,US
68," Los Tapatios"," 1141 Old Bayshore Highway"," "," San Jose"," CA",37.364641,-121.896877,1,range_interpolation,1141,"Old Bayshore Hwy","San Jose",CA,"Santa Clara County",95112,US
69," Louie Mueller Barbecue"," 206 West Second Street"," "," Taylor"," TX",30.568659,-97.411702,1,range_interpolation,206,"W 2nd St",Taylor,TX,"Williamson County",76574,US
70," Mac and Ernie's Roadside Eatery"," Williams' Creek Depot - FM 470"," 78883"," Tarpley"," TX",29.675083,-99.292249,1,street_center,,"Williams Creek Rd",Tarpley,TX,"Bandera County",78883,US
71," Mad Greek's Diner"," 72112 Baker Boulevard"," "," Baker"," CA",35.266788,-116.07412,1,rooftop,72112,"Baker Blvd",Baker,CA,"San Bernardino County",92309,US
72," 39th Street Mama's CLOSED"," 3906 Waddell Street"," "," Kansas City"," MO",39.055985,-94.595512,1,range_interpolation,3906,"Waddell Ave","Kansas City",MO,"Jackson County",64111,US
73," Maria's Taco Xpress"," 2529 South Lamar Boulevard"," "," Austin"," TX",30.245234,-97.77959,1,range_interpolation,2529,"S Lamar Blvd",Austin,TX,"Travis County",78704,US
74," Marietta Diner"," 306 Cobb Pkwy S"," 30060"," Marietta"," GA",33.944229,-84.516758,0.8,range_interpolation,306,"Cobb Pkwy S",Marietta,GA,"Cobb County",30060,US
75," Marlowe's Ribs"," 4381 Elvis Presley Boulevard"," "," Memphis"," TN",35.029185,-90.025328,1,range_interpolation,4381,"Elvis Presley Blvd",Memphis,TN,"Shelby County",38116,US
76," Matthew's Cafeteria"," 2299 Main Street"," "," Tucker"," GA",33.852583,-84.213954,1,range_interpolation,2299,"Main St",Tucker,GA,"DeKalb County",30084,US
77," Matt's Big Breakfast"," 801 North 1st Street"," "," Phoenix"," AZ",33.456454,-112.072541,1,range_interpolation,801,"N 1st St",Phoenix,AZ,"Maricopa County",85004,US
78," Mike's Chili Parlor"," 1447 Northwest Ballard Way"," "," Seattle"," WA",47.662782,-122.374427,1,range_interpolation,1447,"NW Ballard Way",Seattle,WA,"King County",98107,US
79," Mike's City Diner"," 1714 Washington Street"," "," Boston"," MA",42.336845,-71.076088,1,range_interpolation,1714,"Washington St",Boston,MA,"Suffolk County",02118,US
80," Mo Gridder's"," 565 Hunts Point Avenue"," "," Bronx"," NY",40.812094,-73.883564,1,rooftop,565,"Hunts Point Ave",Bronx,NY,"Bronx County",10474,US
81," Monte Carlo Steakhouse"," 3916 Central SW"," "," Albuquerque"," NM",35.0862,-106.683703,1,range_interpolation,3916,"Central Ave",Albuquerque,NM,"Bernalillo County",87105,US
82," Mustache Bill's Diner"," 8th Avenue and Broadway Street"," "," Barnegat Light"," NJ",39.757703,-74.106586,0.78,intersection,,Broadway,"Barnegat Light",NJ,"Ocean County",08006,US
83," The Nook"," 492 Hamline Avenue South"," "," St. Paul"," MN",0,0,0,,,,,,,,
84," The Original Falafel's Drive-In"," 2301 Stevens Creek Boulevard"," 95128"," San Jose"," CA",37.323209,-121.935699,1,range_interpolation,2301,"Stevens Creek Blvd","San Jose",CA,"Santa Clara County",95128,US
85," Panini Pete's"," 42 1/2 South Section Street"," "," Fairhope"," AL",30.524284,-87.902998,1,range_interpolation,"42 1/2","S Section St",Fairhope,AL,"Baldwin County",36532,US
86," Paradise Pup"," 1724 S. River Road"," "," Des Plaines"," IL",42.02212,-87.876048,1,range_interpolation,1724,"S River Rd","Des Plaines",IL,"Cook County",60018,US
87," Patrick's Roadhouse"," 106 Entrada Drive"," "," Los Angeles"," CA",34.027998,-118.518343,1,rooftop,106,"Entrada Dr","Santa Monica",CA,"Los Angeles County",90402,US
88," Penguin Drive-In"," 1921 Commonwealth Avenue"," "," Charlotte"," NC",35.21893,-80.813216,1,range_interpolation,1921,"Commonwealth Ave",Charlotte,NC,"Mecklenburg County",28205,US
89," Pizza Palace"," 3132 E. Magnolia Avenue"," "," Knoxville"," TN",35.994559,-83.886547,1,range_interpolation,3132,"E Magnolia Ave",Knoxville,TN,"Knox County",37914,US
90," Ramona Cafe"," 628 Main Street"," "," Ramona"," CA",33.044919,-116.862667,1,rooftop,628,"Main St",Ramona,CA,"San Diego County",92065,US
91," The Ritz Diner"," 72 E. Mount Pleasant Avenue"," "," Livingston"," NJ",40.796412,-74.312152,1,range_interpolation,72,"E Mount Pleasant Ave",Livingston,NJ,"Essex County",07039,US
92," Roberto's Mexican Food"," 39510 N. Daisy Mountain Drive"," 85086"," Anthem"," AZ",33.853985,-112.115626,1,range_interpolation,39510,"N Daisy Mountain Dr",Anthem,AZ,"Maricopa County",85086,US
93," The Rock Cafe"," 114 Main Street"," "," Stroud"," OK",35.786115,-96.777146,1,range_interpolation,114,"Main St",Stroud,OK,"Lincoln County",74079,US
94," Rosie's Diner CLOSED"," 4500 14 Mile Road"," "," Rockford"," MI",43.132429,-85.551631,0.33,place,,,Rockford,MI,"Kent County",49341,US
95," Russian River Pub"," 11829 River Road"," "," Forestville"," CA",38.505671,-122.942758,1,range_interpolation,11829,"River Rd",Forestville,CA,"Sonoma County",95436,US
96," Schooner or Later"," 241 N. Marina Drive"," "," Long Beach"," CA",33.751916,-118.108352,1,rooftop,241,"N  Marina Dr","Long Beach",CA,"Los Angeles County",90803,US
97," Scully's Tavern"," 9809 Sunset Drive"," "," Miami"," FL",25.703737,-80.298461,0.8,street_center,,"SW 72nd St","South Miami",FL,"Miami-Dade County",33143,US
98," Silk City Diner"," 435 Spring Garden Street"," "," Philadelphia"," PA",39.961326,-75.145827,1,range_interpolation,435,"Spring Garden St",Philadelphia,PA,"Philadelphia County",19123,US
99," Skylark Diner"," Route 1 and Wooding Avenue"," "," Edison"," NJ",40.519753,-74.393444,1,place,,,Edison,NJ,"Middlesex County",08817,US
100," Smokey Valley Truck Stop"," 40 Bond Court"," "," Olive Hill"," KY",38.298549,-83.208975,0.9,range_interpolation,40,"Bond Ln","Olive Hill",KY,"Carter County",41164,US
101," Smoque"," 3800 N. Pulaski Road"," "," Chicago"," IL",41.950182,-87.727508,1,range_interpolation,3800,"N Pulaski Rd",Chicago,IL,"Cook County",60641,US
102," South Side Soda Shop & Diner"," 1122 South Main Street"," "," Goshen"," IN",41.572034,-85.829995,1,range_interpolation,1122,"S Main St",Goshen,IN,"Elkhart County",46526,US
103," Squeeze Inn"," 5301 Power Inn Road"," 95820"," Sacramento"," CA",38.529255,-121.409299,0.8,range_interpolation,5301,"Power Inn Rd",Sacramento,CA,"Sacramento County",95820,US
104," Studio Diner"," 4701 Ruffin Road"," "," San Diego"," CA",32.824176,-117.127328,1,range_interpolation,4701,"Ruffin Rd","San Diego",CA,"San Diego County",92123,US
105," Sweetie Pie's"," 4270 Manchester Avenue"," "," St. Louis"," MO",38.626978,-90.255633,1,range_interpolation,4270,"Manchester Ave","Saint Louis",MO,"St. Louis city",63110,US
106," Taylor's Automatic Refresher"," 933 Main Street"," "," St. Helena"," CA",38.502041,-122.465393,1,range_interpolation,933,"Main St","Saint Helena",CA,"Napa County",94574,US
107," Tecolote Cafe"," 1203 Cerrillos Road"," "," Santa Fe"," NM",35.674647,-105.958867,1,range_interpolation,1203,"Cerrillos Rd","Santa Fe",NM,"Santa Fe County",87505,US
108," Ted Peters Famous Smoked Fish"," 1350 Pasadena Avenue"," "," Pasadena"," FL",34.076761,-118.215642,0.4,street_center,,"Pasadena Ave","Los Angeles",CA,"Los Angeles County",90031,US
109," Thee Pitts Again"," 5558 W. Bell Road"," "," Glendale"," AZ",33.638998,-112.179772,1,range_interpolation,5558,"W Bell Rd",Glendale,AZ,"Maricopa County",85308,US
110," Tom's Bar-B-Q"," 4087 New Getwell Road"," 38118"," Memphis"," TN",35.037131,-89.936714,1,range_interpolation,4087,"New Getwell Rd",Memphis,TN,"Shelby County",38118,US
111," Village Cafe"," 1001 W. Grace Street"," "," Richmond"," VA",37.55096,-77.453315,1,rooftop,1001,"W Grace St",Richmond,VA,"Richmond city",23220,US
112," Virginia Diner"," 408 County Drive N"," 23888"," Wakefield"," VA",36.97356,-76.98905,1,rooftop,408,"N County Dr",Wakefield,VA,"Sussex County",23888,US
113," Voula's Offshore Cafe"," 658 NE Northlake Way"," "," Seattle"," WA",47.654649,-122.321759,1,range_interpolation,658,"NE Northlake Way",Seattle,WA,"King County",98105,US
114," White Palace Grill"," 1159 S. Canal Street"," "," Chicago"," IL",41.867761,-87.639067,1,range_interpolation,1159,"S Canal St",Chicago,IL,"Cook County",60607,US
115," Willie Bird's Restaurant"," 1150 Santa Rosa Avenue"," "," Santa Rosa"," CA",38.426922,-122.71314,1,range_interpolation,1150,"Santa Rosa Ave","Santa Rosa",CA,"Sonoma County",95404,US
116," YJ's Snack Bar"," 128 W. 18th Street"," "," Kansas City"," MO",39.091986,-94.584985,1,range_interpolation,128,"W 18th St","Kansas City",MO,"Jackson County",64108,US
117," Victor's 1959 Cafe"," 3756 Grand Ave"," "," Minneapolis"," MN",44.934871,-93.284504,1,range_interpolation,3756,"Grand Ave",Minneapolis,MN,"Hennepin County",55409,US
118," Town Talk Diner CLOSED"," 2701 1/2 E. Lake Street"," "," Minneapolis"," MN",44.948502,-93.277946,1,range_interpolation,"2701 1/2","E Lake St",Minneapolis,MN,"Hennepin County",55406,US
119," Donatelli's"," 2692 East County Road E"," "," White Bear Lake"," MN",48.643714,-96.914605,0.22,place,,,Kennedy,MN,"Kittson County",56733,US
120," Modern Cafe"," 337 13th Ave NE"," "," Minneapolis"," MN",45.000746,-93.262011,1,range_interpolation,337,"13th Ave NE",Minneapolis,MN,"Hennepin County",55413,US
121," Byways Cafe"," 1212 NW Glisan"," "," Portland"," OR",45.526345,-122.683601,1,range_interpolation,1212,"NW Glisan St",Portland,OR,"Multnomah County",97209,US
122," The Wienery"," 414 Cedar Ave S."," 55467"," Minneapolis"," MN",44.969653,-93.247388,1,range_interpolation,414,"Cedar Ave S",Minneapolis,MN,"Hennepin County",55454,US
123," Clanton's Cafe"," 319 E. Illinois Ave."," 74301"," Vinita"," OK",36.63737,-95.151109,1,range_interpolation,319,"E Illinois Ave",Vinita,OK,"Craig County",74301,US
124," Grinder's"," 417 E. 18th St."," 64108"," Kansas City"," MO",39.091475,-94.578809,1,range_interpolation,417,"E 18th St","Kansas City",MO,"Jackson County",64108,US
125," Tip Top Cafe"," 2814 Fredericksburg Rd."," 78201"," San Antonio"," TX",29.469673,-98.531054,1,range_interpolation,2814,"Fredericksburg Rd","San Antonio",TX,"Bexar County",78201,US
126," The Shed"," 7501 Hwy 57"," 39565"," Ocean Springs"," MS",30.413758,-88.824232,0.8,street_center,,"State St","Ocean Springs",MS,"Jackson County",39564,US
127," The Joint"," 701 Mazant Street"," 70117"," New Orleans"," LA",29.961118,-90.035688,1,range_interpolation,701,"Mazant St","New Orleans",LA,"Orleans Parish",70117,US
128," Texas Pride BBQ"," 2980 E Tx 1604 Loop S"," 78101"," Adkins"," TX",29.390034,-98.238813,1,range_interpolation,2980,"E Tx 1604th Loop",Adkins,TX,"Bexar County",78101,US
129," Burger Bar"," 5291 S 1900 W"," 84067"," Roy"," UT",41.167494,-112.026183,1,range_interpolation,5291,"S 1900 W",Roy,UT,"Weber County",84067,US
130," Emily's Lebanese Delicatessen"," 641 University Ave NE"," 55416"," Minneapolis"," MN",44.994982,-93.260898,1,range_interpolation,641,"University Ave NE",Minneapolis,MN,"Hennepin County",55413,US
131," The Original Vito and Nick's Pizzeria"," 8433 South Pulaski Road"," 60652"," Chicago"," IL",41.73958,-87.721589,1,range_interpolation,8433,"S Pulaski Rd",Chicago,IL,"Cook County",60652,US
132," Valencia Luncheria"," 172 Main Street"," 06851"," Norwalk"," CT",41.125663,-73.419596,1,range_interpolation,172,"Main St",Norwalk,CT,"Fairfield County",06851,US
133," Brewburger's"," 4629 South 108th Street"," 68127"," Omaha"," NE",41.213124,-96.081323,1,range_interpolation,4629,"S 108th St",Omaha,NE,"Douglas County",68137,US
134," Glenn's Diner"," 1820 W. Montrose Ave"," 60613"," Chicago"," IL",41.961653,-87.675249,1,range_interpolation,1820,"W Montrose Ave",Chicago,IL,"Cook County",60613,US
135," Lone Star Taqueria"," 2265 Fort Union Boulevard"," 84121"," Salt Lake City"," UT",40.624127,-111.826048,1,range_interpolation,2265,"Fort Union Blvd","Salt Lake City",UT,"Salt Lake County",84121,US
136," Pat's BBQ"," 155 West Commonwealth Avenue"," 84115"," Salt Lake City"," UT",40.724441,-111.895097,1,range_interpolation,155,"W Commonwealth Ave","Salt Lake City",UT,"Salt Lake County",84115,US
137," Blow Fly Inn"," 1201 Washington Ave"," 39507"," Gulfport"," MS",30.402331,-89.031263,1,range_interpolation,1201,"Washington Ave",Gulfport,MS,"Harrison County",39507,US
138," Tune-Up Cafe"," 1115 Hickox Street"," "," Santa Fe"," NM",35.681074,-105.958411,1,range_interpolation,1115,"Hickox St","Santa Fe",NM,"Santa Fe County",87505,US
139," Pizzeria Luigi"," 1137 25th Street"," 92102"," San Diego"," CA",32.717458,-117.140137,1,range_interpolation,1137,"25th St","San Diego",CA,"San Diego County",92102,US
140," Di Pasquale's"," 3700 Gough Street"," 21224"," Baltimore"," MD",39.288909,-76.566476,1,rooftop,3700,"Gough St",Baltimore,MD,"Baltimore city",21224,US
141," Lo Bello's"," 809 Fifth Avenue"," 15108"," Coraopolis"," PA",40.519859,-80.170055,0.9,range_interpolation,809,"5th Ave",Coraopolis,PA,"Allegheny County",15108,US
142," Stoney Creek Inn"," 8238 Fort Smallwood Road"," 21226"," Baltimore"," MD",39.164919,-76.530088,1,rooftop,8238,"Fort Smallwood Rd","Curtis Bay",MD,"Anne Arundel County",21226,US
143," Alcenia's"," 317 N Main"," 38103"," Memphis"," TN",35.153615,-90.049616,1,range_interpolation,317,"N Main St",Memphis,TN,"Shelby County",38103,US
144," Harry's Roadhouse"," 96 Old Las Vegas"," 87505"," Santa Fe"," NM",35.656638,-105.946155,0.33,place,,,"Santa Fe",NM,"Santa Fe County",87505,US
145," Dor-Stop Restaurant"," 1430 Potomac Ave"," 15216"," Pittsburgh"," PA",40.395782,-80.034645,1,range_interpolation,1430,"Potomac Ave",Pittsburgh,PA,"Allegheny County",15216,US
146," Surrey's Cafe"," 1418 Magazine Street"," 70130"," New Orleans"," LA",29.935841,-90.071837,1,range_interpolation,1418,"Magazine St","New Orleans",LA,"Orleans Parish",70130,US
147," Sophia's Place"," 6313 4th St N.W."," 87107"," Albuquerque"," NM",35.149033,-106.639444,1,range_interpolation,6313,"4th St NW",Albuquerque,NM,"Bernalillo County",87107,US
148," Magnolia Cafe"," 1920 S Congress Ave"," 78704"," Austin"," TX",30.245006,-97.751504,0.9,range_interpolation,1920,"Congress Ave S",Austin,TX,"Travis County",78704,US
149," Ruth's Diner"," 2100 Emigration Canyon"," 84108"," Salt Lake City"," UT",40.760022,-111.782916,1,range_interpolation,2100,"Emigration Cyn","Salt Lake City",UT,"Salt Lake County",84108,US
150," O'Rourke's Diner"," 728 Main Street"," 06457"," Middletown"," CT",41.565583,-72.652686,1,range_interpolation,728,"Main St",Middletown,CT,"Middlesex County",06457,US
151," Parasol's Restaurant & Bar"," 2533 Constance Street"," 70130"," New Orleans"," LA",29.926729,-90.079672,1,range_interpolation,2533,"Constance St","New Orleans",LA,"Orleans Parish",70130,US
152," Tommy's Joynt"," 1101 Geary Blvd."," 94109"," San Francisco"," CA",37.785497,-122.421804,1,rooftop,1101,"Geary Blvd","San Francisco",CA,"San Francisco County",94109,US
